location,abbreviation,epiyear,epiweek,weighted_ili_now
09,CT,2011,3,1.12584
10,DE,2011,3,2.43931
11,DC,2011,3,5.50504
12,FL,2011,3,2.80607
13,GA,2011,3,4.17039
15,HI,2011,3,2.45829
16,ID,2011,3,2.48453
17,IL,2011,3,4.7909
18,IN,2011,3,2.87454
19,IA,2011,3,0.667614
20,KS,2011,3,1.1792
21,KY,2011,3,0.951422
22,LA,2011,3,7.7141
23,ME,2011,3,0.521584
24,MD,2011,3,2.91367
25,MA,2011,3,1.76767
26,MI,2011,3,0.852633
27,MN,2011,3,1.22141
28,MS,2011,3,6.12762
29,MO,2011,3,2.61865
30,MT,2011,3,0.250922
31,NE,2011,3,3.36432
32,NV,2011,3,3.8937
33,NH,2011,3,0.256575
34,NJ,2011,3,5.09953
35,NM,2011,3,3.34283
36,NY,2011,3,3.71172
37,NC,2011,3,3.18006
38,ND,2011,3,0.176432
39,OH,2011,3,1.37746
40,OK,2011,3,8.32717
41,OR,2011,3,1.92741
42,PA,2011,3,2.53164
44,RI,2011,3,0.881144
45,SC,2011,3,2.78326
46,SD,2011,3,1.8747
47,TN,2011,3,3.11836
48,TX,2011,3,4.86157
49,UT,2011,3,2.48869
50,VT,2011,3,1.71288
51,VA,2011,3,3.37494
53,WA,2011,3,1.56064
54,WV,2011,3,1.12161
55,WI,2011,3,0.435034
56,WY,2011,3,1.3211
HHS01,HHS01,2011,3,1.29156
HHS02,HHS02,2011,3,4.13951
HHS03,HHS03,2011,3,2.80155
HHS04,HHS04,2011,3,3.89958
HHS05,HHS05,2011,3,2.19461
HHS06,HHS06,2011,3,5.47749
HHS07,HHS07,2011,3,1.98781
HHS08,HHS08,2011,3,1.44879
HHS09,HHS09,2011,3,3.61111
HHS10,HHS10,2011,3,1.75994
US,US,2011,3,3.29645
01,AL,2011,4,12.2581
02,AK,2011,4,1.82916
04,AZ,2011,4,3.17529
05,AR,2011,4,8.77001
06,CA,2011,4,4.12392
08,CO,2011,4,1.29445
09,CT,2011,4,1.13101
10,DE,2011,4,2.04957
11,DC,2011,4,4.40164
12,FL,2011,4,3.06674
13,GA,2011,4,3.50272
15,HI,2011,4,3.15776
16,ID,2011,4,4.2396
17,IL,2011,4,4.3518
18,IN,2011,4,7.64292
19,IA,2011,4,1.3901
20,KS,2011,4,1.93283
21,KY,2011,4,1.52893
22,LA,2011,4,10.4607
23,ME,2011,4,0.804543
24,MD,2011,4,3.94633
25,MA,2011,4,1.81629
26,MI,2011,4,0.987858
27,MN,2011,4,1.82191
28,MS,2011,4,6.58561
29,MO,2011,4,2.88266
30,MT,2011,4,0.226081
31,NE,2011,4,3.80823
32,NV,2011,4,4.42888
33,NH,2011,4,0.332254
34,NJ,2011,4,6.72912
35,NM,2011,4,3.67815
36,NY,2011,4,1.81706
37,NC,2011,4,6.90209
38,ND,2011,4,0.77434
39,OH,2011,4,1.98762
40,OK,2011,4,13.8531
41,OR,2011,4,1.91265
42,PA,2011,4,3.41167
44,RI,2011,4,0.319468
45,SC,2011,4,3.90804
46,SD,2011,4,2.90199
47,TN,2011,4,4.70801
48,TX,2011,4,5.38119
49,UT,2011,4,2.42863
50,VT,2011,4,1.74705
51,VA,2011,4,5.29557
53,WA,2011,4,0.934952
54,WV,2011,4,1.6629
55,WI,2011,4,1.45757
56,WY,2011,4,2.59946
HHS01,HHS01,2011,4,1.30831
HHS02,HHS02,2011,4,3.33119
HHS03,HHS03,2011,4,3.88988
HHS04,HHS04,2011,4,4.74168
HHS05,HHS05,2011,4,3.01163
HHS06,HHS06,2011,4,6.97714
HHS07,HHS07,2011,4,2.47829
HHS08,HHS08,2011,4,1.64636
HHS09,HHS09,2011,4,3.98281
HHS10,HHS10,2011,4,1.67888
US,US,2011,4,3.89911
01,AL,2011,5,13.4012
02,AK,2011,5,1.26702
04,AZ,2011,5,2.24478
05,AR,2011,5,7.25923
06,CA,2011,5,4.95556
08,CO,2011,5,1.98441
09,CT,2011,5,1.11825
10,DE,2011,5,1.67208
11,DC,2011,5,4.47383
12,FL,2011,5,3.55184
13,GA,2011,5,4.98223
15,HI,2011,5,3.65126
16,ID,2011,5,3.8867
17,IL,2011,5,5.25567
